address;source_location;insn;indent
0x78b2;:0;SAR	$0x5,%RAX;
0x7964;:0;VMOVSD	%XMM1,0x8(%R12);  (166) 
0x796b;:0;VMOVSD	%XMM0,0x8(%RDI);  (166) 
0x7970;:0;CMP	%EDX,%ECX;  (166) 
0x7972;:0;JL	7910 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIidESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_comp_iterIZL20csr_sort_rows_by_coliPKiPiPdEUlRKT_RKT0_E_EEEvSF_SF_SI_T1_+0x90>;  (166) 
0x7974;:0;MOV	%RAX,%R12;  (168) 
0x7977;:0;CMP	%ESI,%EDX;  (168) 
0x7979;:0;JL	792c <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIidESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_comp_iterIZL20csr_sort_rows_by_coliPKiPiPdEUlRKT_RKT0_E_EEEvSF_SF_SI_T1_+0xac>;  (168) 
0x797b;:0;NOPL	(%RAX,%RAX,1);
0x7980;:0;SUB	$0x10,%RDI;  (166) 
0x7984;:0;CMP	%RDI,%R12;  (166) 
0x7987;:0;JB	7942 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIidESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_comp_iterIZL20csr_sort_rows_by_coliPKiPiPdEUlRKT_RKT0_E_EEEvSF_SF_SI_T1_+0xc2>;  (166) 
0x7989;:0;NOPL	(%RAX);
0x7990;:0;MOV	%R13,%RDX;
0x7993;:0;MOV	%R9,%RSI;
0x7996;:0;MOV	%R12,%RDI;
0x7999;:0;CALL	7880 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIidESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_comp_iterIZL20csr_sort_rows_by_coliPKiPiPdEUlRKT_RKT0_E_EEEvSF_SF_SI_T1_>;
0x799e;:0;MOV	%R12,%RAX;
0x79a1;:0;SUB	%RBP,%RAX;
0x79a4;:0;CMP	$0x100,%RAX;
0x79aa;:0;JLE	7a98 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIidESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_comp_iterIZL20csr_sort_rows_by_coliPKiPiPdEUlRKT_RKT0_E_EEEvSF_SF_SI_T1_+0x218>;
0x79b0;:0;TEST	%R13,%R13;
0x79b3;:0;JE	7a14 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIidESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_comp_iterIZL20csr_sort_rows_by_coliPKiPiPdEUlRKT_RKT0_E_EEEvSF_SF_SI_T1_+0x194>;
0x79b5;:0;MOV	%R12,%R9;
0x79b8;:0;JMP	78b2 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIidESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_comp_iterIZL20csr_sort_rows_by_coliPKiPiPdEUlRKT_RKT0_E_EEEvSF_SF_SI_T1_+0x32>;
0x79bd;:0;CMP	%EDI,%EDX;
0x79bf;:0;JL	78ea <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIidESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_comp_iterIZL20csr_sort_rows_by_coliPKiPiPdEUlRKT_RKT0_E_EEEvSF_SF_SI_T1_+0x6a>;
0x79c5;:0;CMP	%EDI,%ESI;
0x79c7;:0;JGE	79ee <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIidESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_comp_iterIZL20csr_sort_rows_by_coliPKiPiPdEUlRKT_RKT0_E_EEEvSF_SF_SI_T1_+0x16e>;
0x79c9;:0;VMOVSD	-0x8(%R9),%XMM1;
0x79cf;:0;MOV	%EDI,(%RBP);
0x79d2;:0;MOV	%ECX,%ESI;
0x79d4;:0;MOV	%ECX,-0x10(%R9);
0x79d8;:0;MOV	(%RBP),%EDX;
0x79db;:0;VMOVSD	%XMM1,0x8(%RBP);
0x79e0;:0;MOV	0x10(%RBP),%ECX;
0x79e3;:0;VMOVSD	%XMM0,-0x8(%R9);
0x79e9;:0;JMP	7903 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIidESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_comp_iterIZL20csr_sort_rows_by_coliPKiPiPdEUlRKT_RKT0_E_EEEvSF_SF_SI_T1_+0x83>;
0x79ee;:0;VMOVSD	0x8(%RAX),%XMM1;
0x79f3;:0;MOV	%ESI,(%RBP);
0x79f6;:0;MOV	%ECX,(%RAX);
0x79f8;:0;MOV	0x10(%RBP),%ECX;
0x79fb;:0;VMOVSD	%XMM1,0x8(%RBP);
0x7a00;:0;MOV	(%RBP),%EDX;
0x7a03;:0;MOV	-0x10(%R9),%ESI;
0x7a07;:0;VMOVSD	%XMM0,0x8(%RAX);
0x7a0c;:0;JMP	7903 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIidESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_comp_iterIZL20csr_sort_rows_by_coliPKiPiPdEUlRKT_RKT0_E_EEEvSF_SF_SI_T1_+0x83>;
